Rank,Gamer,Category,Number of Viewers,viewers,Percentage of Viewers,of,Of Game,Percentage Of Spanish viewership,of,Of Spanish,viewership
#88,MRCARPATV,Diablo IV,310,viewers,0.07%,of Diablo IV,0.11%,of Spanish viewership
#89,MRRAMIIS,FIFA 23,307,viewers,0.87%,of FIFA 23,0.11%,of Spanish viewership
#90,X2POLVORA,Sports,307,viewers,0.19%,of Sports,0.11%,of Spanish viewership
#91,BORJAPAVON,Just Chatting,304,viewers,0.09%,of Just Chatting,0.11%,of Spanish viewership
#92,03ALEXIA03,Rust,304,viewers,1.65%,of Rust,0.11%,of Spanish viewership
#93,LEVIATHAN,VALORANT,303,viewers,0.21%,of VALORANT,0.1%,of Spanish viewership
#94,AMPH,Diablo IV,301,viewers,0.07%,of Diablo IV,0.1%,of Spanish viewership
#95,HARRYALEXOK,Just Chatting,301,viewers,0.08%,of Just Chatting,0.1%,of Spanish viewership
#96,OPOARTSTUDYY,Just Chatting,299,viewers,0.08%,of Just Chatting,0.1%,of Spanish viewership
#97,GUSTAVOCSGOYT,Grand Theft Auto V,289,viewers,0.24%,of Grand Theft Auto V,0.1%,of Spanish viewership
#98,STREAMGAMEOVER,Diablo IV,282,viewers,0.06%,of Diablo IV,0.1%,of Spanish viewership
#99,ELWASABITM,Rust,266,viewers,1.44%,of Rust,0.09%,of Spanish viewership
#100,STRADI,iRacing,262,viewers,5.23%,of iRacing,0.09%,of Spanish viewership
